Customer,State,Customer Lifetime Value,Response,Coverage,Education,,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
BU79786,Washington,"$2,764",No,Basic,Bachelor,2/24/11,Employed,F,"$56,274",Suburban,Married,69,32,5,0,1,Corporate Auto,Corporate L3,Offer1,Agent,$385,Two-Door Car,Medsize
QZ44356,Arizona,"$6,980",No,Extended,Bachelor,1/31/11,Unemployed,F,$0,Suburban,Single,94,13,42,0,8,Personal Auto,Personal L3,Offer3,Agent,"$1,131",Four-Door Car,Medsize
AI49188,Nevada,"$12,887",No,Premium,Bachelor,2/19/11,Employed,F,"$48,767",Suburban,Married,108,18,38,0,2,Personal Auto,Personal L3,Offer1,Agent,$566,Two-Door Car,Medsize
WW63253,California,"$7,646",No,Basic,Bachelor,1/20/11,Unemployed,M,$0,Suburban,Married,106,18,65,0,7,Corporate Auto,Corporate L2,Offer1,Call Center,$530,SUV,Medsize
HB64268,Washington,"$2,814",No,Basic,Bachelor,11-3-02,Employed,M,"$43,836",Rural,Single,73,12,44,0,1,Personal Auto,Personal L1,Offer1,Agent,$138,Four-Door Car,Medsize
OC83172,Oregon,"$8,256",Yes,Basic,Bachelor,1/25/11,Employed,F,"$62,902",Rural,Married,69,14,94,0,2,Personal Auto,Personal L3,Offer2,Web,$159,Two-Door Car,Medsize
XZ87318,Oregon,"$5,381",Yes,Basic,College,2/24/11,Employed,F,"$55,350",Suburban,Married,67,0,13,0,9,Corporate Auto,Corporate L3,Offer1,Agent,$322,Four-Door Car,Medsize
CF85061,Arizona,"$7,216",No,Premium,Master,1/18/11,Unemployed,M,$0,Urban,Single,101,0,68,0,4,Corporate Auto,Corporate L3,Offer1,Agent,$363,Four-Door Car,Medsize
DY87989,Oregon,"$24,128",Yes,Basic,Bachelor,1/26/11,Medical Leave,M,"$14,072",Suburban,Divorced,71,13,3,0,2,Corporate Auto,Corporate L3,Offer1,Agent,$511,Four-Door Car,Medsize
BQ94931,Oregon,"$7,388",No,Extended,College,2/17/11,Employed,F,"$28,812",Urban,Married,93,17,7,0,8,Special Auto,Special L2,Offer2,Branch,$426,Four-Door Car,Medsize
SX51350,California,"$4,739",No,Basic,College,2/21/11,Unemployed,M,$0,Suburban,Single,67,23,5,0,3,Personal Auto,Personal L3,Offer1,Agent,$482,Four-Door Car,Small
VQ65197,California,"$8,197",No,Basic,College,11-6-01,Unemployed,F,$0,Suburban,Married,110,27,87,0,3,Personal Auto,Personal L3,Offer2,Agent,$528,SUV,Medsize
DP39365,California,"$8,799",No,Premium,Master,11-6-02,Employed,M,"$77,026",Urban,Married,110,9,82,2,3,Corporate Auto,Corporate L1,Offer2,Agent,$472,Four-Door Car,Medsize
