,id,title,description
0,000042,Data Organisation,This course examines data organisation.
1,000044,Special Topic in Ethnomusic,Special Topic in Ethnomusicology
2,000050,Electronics 1,"This course examines electronic concepts and theory,"
3,000059,Software Engineering,This course explains the concepts of software engineering.
4,000150,Debates in Social Policy,Debates in Social Policy -  First  Year Sociology Subject
5,000167,Sociology of work,Sociology of work - Second  Year Sociology Subject
6,000170,Social Change & Modernisation,Social Change and Modernisation - Second  Year Sociology Subject
7,000098,Human Behaviour 1B,Human Behaviour 1B - Second Year Social Work Subject
8,000105,Real Time Instrumentation,This course teaches the concepts of real time instrumentation.
9,000077,Industrial Training,This course examines the theory of industrial training.
10,000137,TV & Video Signal Processing,This course explains television & video signal processing.
11,000138,Advanced Control Topics,This course explains advanced control topics.
12,000141,Digital Image Processing Sys.,This course explains digital image processing systems.
13,000143,Issues and Themes in Sociology,Issues and themes in Sociology - First  Year Socology Work Subject
14,000178,"Law, Inequality and the State","Law, Inequality and the State - Second  Year Sociology Subject"
15,000078,Social Work Practice 1B,Social Work Practice 1B - First Year Social Work Subject
16,000082,Managing People,This aims to teach the concepts of managing people.
17,000070,Communication Systems,This course examines communication systems.
18,000071,Electronics 2,This course examines Electronics 2.
19,000122,Thesis: Part B,This course is aimed towards developing research and thesis writing skills.
20,000123,Industrial Training (Eng),This course teaches industrial training.
21,000129,Social Work Practice 4,Social Work Practice 4 - Fourth Year Social Work Subject
22,000131,Microwave & Optical Devices,This course teaches explains microwave and optical devices.
23,000133,Integrated Circuit Technology,This course explains the principles of integrated circuit technology.
24,000240,Community Development,Community Development -  A subject for a Masters of Social Work
25,000247,Social Development,Social Developement: Policy and Planning -  A subject for a Masters of Social Work
26,000248,Human Resource Management,This course teaches the concepts of human resource management.
27,000287,Legal Research & Writing 2,This course teaches the theory of legal research & writing 2.
28,000292,Law & Social Theory,This course teaches the concepts of law & social theory.
29,000293,Legal Theory,This course teaches the principles of legal theory.
30,000299,Conflict of Laws,This course teaches the theory of conflict of laws.
31,001002,Finite Mathematics,"Algebra review, functions and modeling, systems of linear equations, matrices, linear programming, mathematics of finance, combinatorics and probability."
32,001003,Remedial Algebra,Remedial Algebra
33,000211,Advanced Problems in Sociology,Advanced problems in Sociological Theory - A Paper in a Masters of Arts - Sociology
34,000216,Capitalism in the 20th Century,Capitalism in the 20th Cntury - A Paper in a Masters of Arts - Sociology
35,000277,Promotion Management,This course teaches promotion management.
36,000279,Legal Systems Torts,This course teaches legal system torts.
37,000007,Acoustics for Musicians,Acoustics for Musicians - First Year Bachelor of Arts - Music Subject
38,000022,Harmony and Counterpoint 3,Harmony and Counterpart 3 -  Third Year Bachelor of Arts - Music Subject
39,001031,General Biochemistry,Structure and chemistry of the cell.
40,000254,Preparation for Internat Prac,Preparation for International Practice -  A subject for a Masters of Social Work
41,000259,Business Data Networks,This course teaches business data networks.
42,000260,Research Methods,Research Methods -  A subject for a Masters of Social Work
43,000262,Executive Support Systems,"This course teaches executive support systems,"
44,000391,English Literature,
45,000392,Shakespeare,
46,000396,Family Law,
47,000398,Biochemistry,
48,000400,Mathematics,
49,000412,English 18th Century Lit,
50,001267,Society and the Individual,
51,000349,Cognitive Science,Cognitive Science - A 3rd Year Bachelor of Arts Subject
52,000354,Computing 1A Lec,This course provides an introduction to computing and computing concepts.
53,000111,Real Time Engineering,This course teaches the theory of real time engineering.
54,000112,Social Work Placement 2,Social Work Placement 2 - Third  Year Social Work Subject
55,000219,Asia & the Modern World,Asia and the modern world system - - A Paper in a Masters of Arts - Sociology
56,001168,2D Design,
57,003848,Senior Recital,
58,003850,Junior Recital,
59,003852,Psychology Stat II,
60,004000,Funct Analytic Geom,
61,002080,Critical Reading of Lit,
62,002087,Strategic Management Seminar,
63,002093,Intro to World Politics,
64,002094,International Affairs,
65,002095,Intro to Comp Sci,
66,002097,Intro to US Govt and Politics,
67,000439,Semiconductor Devices II,
68,001230,Sociological Methods I,
69,001240,Microeconomics,
70,001308,Survey of Modern Math I,"Set theory, probability and statistics, matrices, number theory.  Prerequisite: high school mathematics."
71,001309,Survey of Modern Math II,Continuation of Math 102.
72,000236,Industrial Relations 1B,This course teaches the introductory concepts of industrial relations: 1B
73,001068,Air Polution Engineering,"Integrated approach to air pollution, including concentrations of atmospheric pollutants."
74,001159,Elementary French,Elementary French I
75,000269,Consumer Behaviour A,This course teaches the concepts of consumer behaviour A.
76,000270,Consumer Behaviour B,This course teaches the concepts of consumer behaviour B.
77,000271,Marketing Research,This course teaches the concepts of marketing research.
78,002047,Mathematrix Seminar,Curriculum integration techniques for mathematics in the K-6 grades.
79,003074,Des Analys Psy Exp I,
80,001307,Greco-Roman Civilization,
81,002053,Electronic Circuit Components,
82,002073,Art History I,
83,001310,Complex Variables for Apps,"Complex numbers, functions of a complex variable, theory of analytic functions, series development, analytic contiunation, contour integration, conformal mapping."
84,002045,Lang Arts Integration Seminar,Integration activities in the language arts for K-6 educators
85,001250,Constitutional Law,
86,001261,Survey of Printmaking,
87,000187,Political Sociology,Political Sociolgy: The Welfare State - Third  Year Sociology Subject
88,000191,Sociology of Religion,Sociology of Religion - Third  Year Sociology Subject
89,000197,Business Ethics & the Law,This course teaches business ethics & law.
90,000199,Law of Finance & Securities,This course teaches the law of finance & securities.
91,000206,Business Entities,This course teaches the concepts of business entities.
92,000207,"Corporate Law, Tax & Strategy","This course teaches corporate law, tax and strategy."
93,001060,Cell Biology,"A comparative and theoretical coverage of basic aspects of cell structure and function common to most biological systems, including integration of cell theory, metabolism and gene action.  Credit may not be earned in both BIOL 220 and CHEM 222."
94,001063,Recombinant DNA,Theory and application of recently developed genetic techniques that have enabled scientists to manipulate eukaryotic and prokaryotic genes.
95,001065,Biomechanics,A study of the interactions of organisms with their physical environment.  Concepts from fluid and solid mechanics are applied to biological form and function.
96,003152,Mus Theory II,
97,003174,Contemp Notn,
98,003445,Econ Anly Law,
99,003451,Enterp Org,
100,003456,Valuation,
101,003460,Venture Capt,
102,003463,Const in South Afr,
103,003469,Intern Orgs,
104,003472,Interntl Finance,
105,001022,Computers for Novices,
106,003036,Psy Law,
107,003040,Animl Behv,
108,003048,Adv Topics,
109,003054,Clin Psy,
110,003056,Dev Memry,
111,003060,Bio Mind,
112,003006,Developmental Psych,"The cognitive, psychological and social development of the child from birth to adolescence."
113,001289,Intermediate Latin,
114,001295,Readings in Greek Literature,
115,003421,Property,
116,003426,Bus Econ Pub Pol,
117,003428,Expt Sys for Bus,
118,003429,Environmental Law,
119,003443,Common Law,
120,003400,People of Mixed Race Descent,
121,003230,Comm Corrections,
122,003232,Domes Crim Violence,
123,003242,Soc Control Women Off,
124,003086,Cmplx Mental Procs,
125,001276,Foundations of Higher Math,"Introduction to fundamental mathematical ideas - such as sets, functions, equivalence relations, and cardinal numbers and basic techniques of writing proofs."
126,003132,Mus Culture World,
127,003306,Probs in Lit,
128,003601,Learn Cog Assess,
129,003607,Fundamentals of Drug Abuse,
130,007264,Electricity and Magnetism I,Electrostatics; effects of steady currents; DC circuits.
131,003610,Thesis Res,
132,004008,Applied FORTRAN,
133,007126,Introduction to Economics,A survey of economics designed to give an overview of the field for continuing education purposes.  This course is offered in on-line format only.
134,003734,Princ Genet Engin,
135,003736,Plant Pop,
136,001213,Social Problems,
137,001226,Intro to Political Sociology,
138,003252,Comp Soc Structure,
139,003100,Behav Neuro I,
140,003114,Sem Clinical Psy,
141,004082,Adv Comp Rep II,
142,004092,Meat Analysis,
143,004104,Purchase Food Cntl,
144,003286,Milton,
145,003292,Amer Lit 1945,
146,003300,Lit and History,
147,000151,Quantitative Methods:A,This course examines quantitative methods: A.
148,004282,The Mind,
149,007256,Calculus III,"Continuation of Math 212. Vectors, vector valued funcitons, differential and integral calculus of functions of several variables; Green's theorem."
150,004296,Curr US Soc Probs,
151,004315,Int Acct II,
152,004316,Cost Acct,
153,003406,Japanese-Am Conc Camp,
154,003419,Crim Law,
155,003480,Manag Writ Strat,
156,003485,Taxation I,
157,003617,Teach Soc Sci,
158,003628,Educ Imag Euro Amer,
159,003640,Hist Idea in Amer Ed,
160,003650,Sem Ed Admin,
161,004224,Art Gallery,
162,004248,Environ Science,
163,004256,Organic Chemistry,
164,004258,Gen Botany,
165,007227,Mystery in Literature & Film,Mystery in Literature & Film
166,007232,History of the Civil War,History of the Civil War
167,007235,Advertising,Advertising
168,007239,Precalculus,Precalculus
169,007243,Discrete Mathematics,Discrete Mathematics
170,007244,Differential Equations,Differential Equations
171,007247,Logic,Logic
172,007249,Introduction to Physics,Introduction to Physics
173,007250,Seminar & Project,Seminar & Project
174,004280,The Brain,
175,003493,Soc Welfare Pol,
176,003495,Child Advo Clinic,
177,003500,Sem Creatv Mkt Strat,
178,003504,Manufact Plan Control,
179,003510,Mgt Logistics,
180,003518,Interp Dyn Mgt,
181,003524,Women & Change,
182,003526,Actn Skills,
183,003530,Sem HR Mgt,
184,003318,Crit Theor,
185,003322,SpecTopics,
186,003392,Contemp Immigr,
187,003396,Racial Politics,
188,004116,Inter EMT I,
189,004126,General Biology I,
190,004132,Intro to Real Est,
191,004134,Real Est Appr,
192,004138,Real Est Law,
193,004142,Weed-Free Lawn,
194,004144,Cont Garden,
195,004150,Japanese Flwr Gard,
196,004154,Disc Writing Potent,
197,004184,Foundations of Nurs,
198,004188,Nurse Caring Pract I,
199,004208,Nurse Car Risk Conc,
200,004210,Supp Nurs Skill Prac,
201,000442,Strength of Materials,
202,004030,Lan and Wan,
203,004036,Struct Music I,
204,004040,Aural Percept I,
205,004044,Piano I,
206,004050,Piano IV,
207,004052,Private Instruction,
208,004068,Struct Repair II,
209,004070,Aircraft Blueprint,
210,007144,History and Historians,"History and Historians:A study of the theories of history, the methods of historical research and the development of historical writing."
211,007145,The Modern American Presidency,"The Modern American Presidency: An examination of the presidents of the United States beginning with FDR. The class focuses on the evolution of the office itself as well as those who occupied it. Student research is directed to biographical studies, cultural examinations, and media presentations using primary source materials and secondary monographs. Archival work at presidential libraries is stressed."
212,007148,Early People,Early People - An anthropological study
213,007205,General Biology I,General Biology I
214,007211,Computer Science I,Computer Science I
215,007214,Advanced Programming,Advanced Programming
216,007216,Principles of Econ I - Macro,Principled of Econ I - Macro
217,007219,Developmental Writing,Developmental Writing
218,007220,College Composition I,College Composition I
219,666741,Microecon Policy Analysis I,"Part 1 of 2 semester course. Uses modern microeconomics to assess public policy and the role of the state in a number of areas of contemporary interest. Key topics include: modern welfare economics, general equilibrium analysis and social choice theory, market failure, industry structure analysis."
220,004338,Intro Renaissance,
221,004340,Art of Japan,
222,004342,Art of China,
223,004358,Und Interd Res,
224,007157,Problems in Elem Education,Problems in Elementary Education
225,007162,Polypeptide-Hormone Recp Intct,Polypeptide-Hormone Receptor Interactions
226,007163,Reproductive Physiology,Reproductive Physiology
227,007172,Greek/Roman Mythology,Greek/Roman Mythology
228,007173,Greek Language 1,Greek Language 1
229,007174,Greek Language 2,Greek Language 2
230,003536,Forecasting,
231,007180,Astrophysics,Quantitative study of stellar astronomy with emphasis on stellar evolution and cosmology.   Includes computer simulations
232,007181,Introduction to Intl Economics,"Surveys international trade and monetary theory, the forces and institutions which guide external economic relations and this issues and problem which constrain foreign trade."
233,007182,French for Graduate Students I,Preparation for graduate reading examinations in field of English and in all other disciplines.
234,666670,Microeconomic Principles,"Introductory microeconomic analysis, focusing on theory of demand; production, markets and welfare. Use of micoeconomic theory in the evaluation and formulation of public policy"
235,007193,Principles of Accounting I,Principles of Accounting I
236,007199,Taxation Accounting,Taxation Accounting
237,007201,History of Far Eastern Art,History of Far Eastern Art
238,003556,Combinatorics I,
239,003562,Topology II,
240,007287,Statistical Methods I,
241,007186,World Economy 20th Century,Development of the world economic system with particular reference to world wide trading relationships.
242,000432,Quantum Physics II,
243,007293,Spanish I,
244,007191,Psychology of Sport II,An in depth exploration of the impact modern sport on the athlete and fan.
245,666675,Biological Literature,"Standard forms of presentation of scientific research, including research articles, review papers, abstracts, poster and oral presentations.  Sources of biological literature and contemporary literature search skills as well as data presentation formats and technical writing conventions will be addressed."
246,000166,Analysis of Survey Data,This course explains the concepts of analysing survey data.
247,007127,Math Methods in Physics,"Application of the following techniques to physics:  vectors, Gauss' and Stokes' theorems, series solutions of differential equations, Sturm - Liouville theory, and Fourier Series."
248,007150,Chinese Culture,Chinese Culture
249,007151,Human Paleontology,Human Paleontology
250,007154,Intro to Teaching Science,Introduction to Teaching Science
251,003714,Coastal Bio,
252,004212,Gen Bacter,
253,003818,Surg Selective,
254,003820,Clin Derm,
255,003824,Clin Anes,
256,003836,Gastro,
257,007321,Technics 101,Technical applications of the 21st century.
258,007322,Dutch Economics,Study economic trends in the Netherlands.
259,007138,California,California
260,004108,Field Work Rest,
261,666745,The International Economy,"Provides a critical review of the development of international economic policy and institutions in the context of the hypothesized emergent processes of globalization. Key topics include: the global economy, competing approaches to the international economy, post-1945 industrialization, economic institutions, international monetary and trade relations."
262,666911,Elementary German,
263,666912,Intermediate German,
264,666917,Statistical Analysis I,
265,666925,Psychology of Personality,
266,667246,Computer Architecture,
267,000101,Chemistry 1,This course teaches the theory of chemistry 1 electrical engineering.
268,007259,Principles of Physics I,"Dynamics of particles and rigid bodies, conservation laws, wave motion, thermodynamics, heat engines, entropy."
269,007260,Principles of Physics II,"Electrostaatics, magnetostatics, electrical circuits, electrical and magnetic properties of matter, Maxwell's equations, eletromagnetic waves, propagation of light."
270,000159,Accounting & Fin Mgt: 3A,This course explains the concepts of accounting & financial management: 3A
271,666723,Economics of Dissent,"This course offers a survey of iconoclastic economic perspectives from Marxism, through institutionalism to economic liberalism."
